1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/1 Cartesian=0.0000000 0.0000000 0.0000000 (93885 plane wave)
 1 -21.99650664424954 2.000000000000000
 2 -21.83258659308543 2.000000000000000
 3 -21.74560524199164 2.000000000000000
 4 -21.68970552449955 2.000000000000000
 5 -21.64482154603223 2.000000000000000
 6 -21.50204743396199 2.000000000000000
 7 -21.47957077471797 2.000000000000000
 8 -21.39477125869738 2.000000000000000
 9 -21.32885364577675 2.000000000000000
 10 -21.31421700000871 2.000000000000000
 11 -21.25873150323476 2.000000000000000
 12 -21.24962031814200 2.000000000000000
 13 -21.22088383015555 2.000000000000000
 14 -21.15793198978349 2.000000000000000
 15 -21.14102709891811 2.000000000000000
 16 -21.13275490651595 2.000000000000000
 17 -21.09586676141887 2.000000000000000
 18 -21.02715152928384 2.000000000000000
 19 -21.01370475301856 2.000000000000000
 20 -20.93929518172202 2.000000000000000
 21 -20.88486325501121 2.000000000000000
 22 -20.80302305236271 2.000000000000000
 23 -20.78684945358883 2.000000000000000
 24 -20.71876220505280 2.000000000000000
 25 -20.65136143061298 2.000000000000000
 26 -20.60647501720554 2.000000000000000
 27 -20.57962180894556 2.000000000000000
 28 -20.42051306685692 2.000000000000000
 29 -20.33436219005824 2.000000000000000
 30 -20.31015275672074 2.000000000000000
 31 -20.24156116223062 2.000000000000000
 32 -19.66128211857587 2.000000000000000
 33 -10.03502925486742 2.000000000000000
 34 -9.995642152887028 2.000000000000000
 35 -9.800695506500686 2.000000000000000
 36 -9.727420320019824 2.000000000000000
 37 -9.619588371820747 2.000000000000000
 38 -9.573649415406319 2.000000000000000
 39 -9.502835148666065 2.000000000000000
 40 -9.459082723948688 2.000000000000000
 41 -9.385511814701054 2.000000000000000
 42 -9.355243466382559 2.000000000000000
 43 -9.297114821200450 2.000000000000000
 44 -9.221299955938424 2.000000000000000
 45 -9.205251175803481 2.000000000000000
 46 -9.180295014057602 2.000000000000000
 47 -9.145482379701434 2.000000000000000
 48 -9.114695815259303 2.000000000000000
 49 -9.105230315527500 2.000000000000000
 50 -9.089263738167876 2.000000000000000
 51 -9.068383986245429 2.000000000000000
 52 -8.992657161311788 2.000000000000000
 53 -8.973344029228889 2.000000000000000
 54 -8.899008373452313 2.000000000000000
 55 -8.812636291281052 2.000000000000000
 56 -8.761547008255533 2.000000000000000
 57 -8.734682702846293 2.000000000000000
 58 -8.679804323319749 2.000000000000000
 59 -8.651442285985450 2.000000000000000
 60 -8.625613047918106 2.000000000000000
 61 -8.596623433982783 2.000000000000000
 62 -8.518629286971166 2.000000000000000
 63 -8.289240255340639 2.000000000000000
 64 -8.258349606074427 2.000000000000000
 65 -6.755061288417537 2.000000000000000
 66 -6.536328676171213 2.000000000000000
 67 -6.442304712565630 2.000000000000000
 68 -6.387340026552990 2.000000000000000
 69 -6.330065426053802 2.000000000000000
 70 -6.312970584897505 2.000000000000000
 71 -6.218092911547087 2.000000000000000
 72 -6.133357857407824 2.000000000000000
 73 -6.082899133660022 2.000000000000000
 74 -6.014747797123444 2.000000000000000
 75 -5.909724637482042 2.000000000000000
 76 -5.862399136687680 2.000000000000000
 77 -5.781886384734377 2.000000000000000
 78 -5.755809258133075 2.000000000000000
 79 -5.690677409974584 2.000000000000000
 80 -5.551765691625746 2.000000000000000
 81 -5.482947158004432 2.000000000000000
 82 -5.455581493695724 2.000000000000000
 83 -5.317910873555023 2.000000000000000
 84 -5.236497340266647 2.000000000000000
 85 -5.192384182776995 2.000000000000000
 86 -5.126892440126839 2.000000000000000
 87 -4.962367467238756 2.000000000000000
 88 -4.917036269581647 2.000000000000000
 89 -4.884126296956365 2.000000000000000
 90 -4.855771228658451 2.000000000000000
 91 -4.765195242858552 2.000000000000000
 92 -4.670710076111027 2.000000000000000
 93 -4.565619187499872 2.000000000000000
 94 -4.442243394398459 2.000000000000000
 95 -4.378551524609020 2.000000000000000
 96 -4.072292657642509 2.000000000000000
 97 -3.906250500983826 2.000000000000000
 98 -3.886697859252657 2.000000000000000
 99 -3.800042424636473 2.000000000000000
 100 -3.766893690806830 2.000000000000000
 101 -3.707929469592804 2.000000000000000
 102 -3.682507836299555 2.000000000000000
 103 -3.602259028476848 2.000000000000000
 104 -3.567068636529834 2.000000000000000
 105 -3.557933560273008 2.000000000000000
 106 -3.534160798787539 2.000000000000000
 107 -3.482758490387744 2.000000000000000
 108 -3.467464449983074 2.000000000000000
 109 -3.459811777421403 2.000000000000000
 110 -3.419146013599102 2.000000000000000
 111 -3.383967778826038 2.000000000000000
 112 -3.344729104430654 2.000000000000000
 113 -3.340347559931005 2.000000000000000
 114 -3.267755848781945 2.000000000000000
 115 -3.227954425191502 2.000000000000000
 116 -3.186542951746104 2.000000000000000
 117 -3.147730875684490 2.000000000000000
 118 -3.124266055431095 2.000000000000000
 119 -3.082579916531469 2.000000000000000
 120 -3.062635066971771 2.000000000000000
 121 -3.019742581226533 2.000000000000000
 122 -2.987923001912391 2.000000000000000
 123 -2.971286698578002 2.000000000000000
 124 -2.947171078153816 2.000000000000000
 125 -2.916132143493387 2.000000000000000
 126 -2.845731323648955 2.000000000000000
 127 -2.734508020735459 2.000000000000000
 128 -2.526614811674540 2.000000000000000

