1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/1 Cartesian=0.0000000 0.0000000 0.0000000 (316777 plane wave)
 1 -38.88998863247251 2.000000000000000
 2 -29.80636419268193 2.000000000000000
 3 -25.13968982945857 2.000000000000000
 4 -23.22231480488744 2.000000000000000
 5 -18.87777689897154 2.000000000000000
 6 -14.29110909450761 2.000000000000000
 7 -10.82511150328375 2.000000000000000
 8 -9.482364632083062 2.000000000000000
 9 -4.500756115134042 2.000000000000000
 10 -2.917350744612853 2.000000000000000
 11 -0.5258659078038295 0.000000000000000
 12 0.07468772775458596 0.000000000000000
 13 0.1466817690143459 0.000000000000000
 14 0.3117533343849611 0.000000000000000
 15 0.3735241162669671 0.000000000000000
 16 0.5586120015911353 0.000000000000000
 17 0.5804502959733805 0.000000000000000
 18 0.8521087827854635 0.000000000000000
 19 0.8970636449670789 0.000000000000000
 20 0.9405822624851792 0.000000000000000

