#t(a.u.)         c11(t)         c12(t)         c22(t)          decay
       0             -0             -0             -0              1
     0.1       -1.39981        6.61846       -38.6529       0.999999
     0.2       -1.91869        6.94748       -25.4566       0.999997
     0.3       -1.87453        5.46871       -15.4962       0.999993
     0.4         -1.613        3.75367       -6.29163       0.999988
     0.5       -1.36998         3.0228       -6.02995       0.999981
     0.6        -1.1229        2.41076        -5.2121       0.999972
     0.7       -0.84644        1.75119       -5.82033       0.999962
     0.8      -0.529567       0.779473       -2.13103        0.99995
     0.9      -0.207795      -0.478764        2.26293       0.999937
       1     -0.0274305       -1.71983        14.2952       0.999922
     1.1      -0.223429      -0.296497         2.7213       0.999906
     1.2       -0.52012        1.33572       -6.18743       0.999888
     1.3      -0.682473        1.98316        -8.0475       0.999868
     1.4      -0.680744        1.94282       -7.37763       0.999847
     1.5      -0.541304          1.158       -1.87757       0.999825
     1.6      -0.392683        0.45054        1.06719       0.999801
     1.7      -0.338962       0.439305       0.278653       0.999775
     1.8      -0.336361       0.770503       -3.62597       0.999748
     1.9      -0.277351        0.47761       -2.68132       0.999719
       2      -0.209436     -0.0904699        2.05009       0.999688
     2.1      -0.251118     -0.0725256        3.30625       0.999656
     2.2      -0.424306       0.619763       0.274875       0.999623
     2.3      -0.662276         1.6743       -3.78776       0.999588
     2.4       -0.84316        2.65113       -9.18636       0.999551
     2.5       -0.82207        2.65545       -10.1339       0.999513
     2.6       -0.59289        1.75696       -5.69187       0.999473
     2.7      -0.260505       0.726003        -1.7852       0.999432
     2.8       0.107882      -0.263251      -0.405878       0.999389
     2.9       0.499456       -1.73228        5.33059       0.999345
       3       0.771719       -2.99599        13.8406       0.999299
     3.1       0.730795       -2.36083        7.18894       0.999251
     3.2       0.529208       -1.36873       0.785766       0.999202
     3.3       0.322173       -1.10297        3.85854       0.999152
     3.4      0.0342721      -0.450406        2.65836       0.999099
     3.5       -0.35344       0.575778        1.84462       0.999046
     3.6      -0.835801        2.68443       -8.59656        0.99899
     3.7       -1.15955        4.48198       -21.0679       0.998934
     3.8       -1.02982        3.58973        -13.514       0.998875
     3.9      -0.586514        1.54205       -7.25079       0.998815
       4     -0.0619567       -1.51592        14.7625       0.998754
     4.1      0.0766182       -1.67383        10.3589       0.998691
     4.2     -0.0963195      -0.272129      -0.119336       0.998626
     4.3      -0.288546       0.703572       -4.52545        0.99856
     4.4      -0.374638       0.795104       -2.28323       0.998492
     4.5      -0.392764       0.682223       -3.52434       0.998423
     4.6      -0.361653      -0.118464        3.91742       0.998352
     4.7      -0.475393       0.109044        4.49046        0.99828
     4.8      -0.735548        1.41553       -1.69602       0.998206
     4.9      -0.935889        2.69422       -11.1737       0.998131
       5      -0.854482          2.332             -9       0.998054
     5.1      -0.551272       0.813361      -0.732506       0.997975
     5.2      -0.262828      -0.489972        6.08367       0.997895
     5.3      -0.161405      -0.567317        5.47599       0.997813
     5.4      -0.223204       0.454522       -2.10892        0.99773
     5.5      -0.229708        1.02115       -6.31411       0.997645
     5.6      -0.048041       0.338971       -2.73773       0.997559
     5.7       0.236149      -0.992416        4.31698       0.997471
     5.8       0.400989       -1.64519        8.06227       0.997382
     5.9       0.334361      -0.918551        3.96889       0.997291
       6       0.183172       0.382048       -4.67716       0.997198
     6.1       0.208929       0.660669        -9.1608       0.997104
     6.2       0.494803       -1.05141        3.15339       0.997009
     6.3        0.72813       -2.23641        10.1847       0.996912
     6.4       0.734546       -1.90964        4.87051       0.996813
     6.5       0.619099       -1.55105        5.29602       0.996713
     6.6       0.389464      -0.412537       -2.60642       0.996611
     6.7       0.212055      0.0181622       -1.52546       0.996508
     6.8      0.0909123      0.0950192       0.932628       0.996403
     6.9     -0.0361457       0.635186       -4.45412       0.996296
       7     -0.0801129       0.405864      -0.546243       0.996188
     7.1      -0.128339       0.453822       0.368893       0.996079
     7.2      -0.209809        1.24339       -6.64432       0.995968
     7.3      -0.155696        1.33302       -8.14837       0.995855
     7.4        0.12373      0.0489952       -1.79951       0.995741
     7.5       0.473206       -1.75717        9.55032       0.995626
     7.6        0.62321       -2.10582        9.84315       0.995509
     7.7       0.591009       -1.43133        2.89563        0.99539
     7.8       0.549744       -1.17098        1.20878        0.99527
     7.9       0.529415       -1.10546        1.14853       0.995148
       8       0.532267       -1.21105        1.35036       0.995025
     8.1       0.552996       -1.93135        7.29673         0.9949
     8.2       0.412962       -1.96009        10.9625       0.994773
     8.3      0.0112964      -0.220333         2.8432       0.994645
     8.4      -0.417813        1.74595       -8.51777       0.994516
     8.5      -0.610506        2.30201       -9.80622       0.994385
     8.6      -0.562925         2.0168       -6.89317       0.994253
     8.7      -0.321627        1.12709       -3.29858       0.994118
     8.8      0.0405584      -0.303954        2.41571       0.993983
     8.9        0.36708       -1.37798        5.82146       0.993846
       9        0.57862       -1.85145        5.72224       0.993707
     9.1        0.67987       -2.05153         6.1326       0.993567
     9.2       0.659348       -1.74155        4.44981       0.993425
     9.3       0.563437        -1.4298        5.86188       0.993282
     9.4       0.376605      -0.531583       0.683605       0.993137
     9.5       0.182194       0.527048       -4.66829       0.992991
     9.6       0.121817       0.924042       -6.22753       0.992843
     9.7       0.255457       0.502311       -6.91035       0.992694
     9.8       0.569736       -1.17982         4.6262       0.992543
     9.9       0.805273       -2.18621        9.08124       0.992391
      10       0.830553       -1.91398         3.2255       0.992237
    10.1        0.76552       -1.84607        5.82788       0.992081
    10.2       0.589831       -1.22899        3.00608       0.991924
    10.3       0.341305      -0.335229       0.332574       0.991766
    10.4       0.103995       0.711181       -6.53433       0.991606
    10.5       0.032843       0.542432       -3.58013       0.991444
    10.6      0.0643628      -0.350641        5.13873       0.991281
    10.7     -0.0455216       0.236006        1.75939       0.991117
    10.8      -0.214267        1.68827       -10.8402       0.990951
    10.9       -0.13721        1.16229       -4.02135       0.990783
      11      0.0764936       0.626613       -6.43759       0.990614
    11.1       0.449384       -1.09102        2.16259       0.990444
    11.2       0.798687       -3.18875        15.7102       0.990271
    11.3       0.790107       -3.18902        14.7706       0.990098
    11.4       0.425421       -1.09541       0.880213       0.989923
    11.5      0.0641099       0.319679       -5.72533       0.989746
    11.6       -0.12675      -0.049069        1.38494       0.989568
    11.7      -0.380249     -0.0304959        5.45207       0.989388
    11.8      -0.854445        1.63544      -0.137623       0.989207
    11.9       -1.40481        4.26125       -13.7696       0.989024
      12       -1.69293        5.83998       -22.2473        0.98884
    12.1       -1.49815        5.32953       -22.1893       0.988654
    12.2      -0.817056        2.32326       -9.86184       0.988467
    12.3     0.00415984       -1.84471        14.3671       0.988278
    12.4       0.377486       -3.16401        19.5997       0.988088
    12.5       0.228709       -1.52374         5.6543       0.987896
    12.6     -0.0532187      0.0501684       -2.86353       0.987703
    12.7      -0.250177       0.706365       -4.05253       0.987509
    12.8      -0.359387       0.763182      -0.645566       0.987312
    12.9      -0.452869        1.01935       -2.77904       0.987115
      13      -0.529993        1.09031      0.0868378       0.986915
    13.1      -0.647915        1.95078       -5.37338       0.986715
    13.2      -0.645844        2.54758       -12.6576       0.986512
    13.3      -0.342692        1.20936       -6.10417       0.986309
    13.4      0.0935033       -1.04992        5.76213       0.986103
    13.5       0.300449       -2.20252        14.3101       0.985897
    13.6      0.0767705      -0.485567        1.11963       0.985689
    13.7      -0.212286        1.02864       -6.86114       0.985479
    13.8      -0.340809        1.18632       -4.99008       0.985268
    13.9      -0.366655       0.968256       -2.80609       0.985055
      14      -0.357631       0.619521        1.76133       0.984841
    14.1      -0.413722        1.03657         -1.555       0.984625
    14.2      -0.460435        1.74892       -8.22848       0.984408
    14.3      -0.316093         1.4851       -7.90051       0.984189
    14.4      0.0532358      0.0106798       -1.35497       0.983969
    14.5       0.495553       -1.94566        7.91896       0.983748
    14.6        0.78926       -3.13766        11.4665       0.983525
    14.7       0.820783       -3.30196        13.2616         0.9833
    14.8       0.575869       -2.25485         8.0656       0.983074
    14.9       0.180056      -0.774031       0.486801       0.982846
      15      -0.227474       0.336624      -0.591248       0.982617
    15.1      -0.627552        1.48728       -2.41174       0.982387
    15.2      -0.990199        2.88364       -9.08531       0.982155
    15.3        -1.1679        3.81527       -16.5868       0.981922
    15.4       -1.01181        2.82569       -7.33269       0.981687
    15.5      -0.689883        1.67017       -5.13726        0.98145
    15.6      -0.285641       0.182708        0.81365       0.981212
    15.7      0.0799667      -0.963477        3.69895       0.980973
    15.8       0.350489       -1.96378        7.98857       0.980732
    15.9       0.441308       -2.34993        9.34577        0.98049
      16       0.319452       -1.96238        8.05411       0.980246
    16.1     0.00785169      -0.826927        5.52318       0.980001
    16.2      -0.408358        1.16652       -5.14567       0.979754
    16.3      -0.664203        2.22206       -10.0006       0.979506
    16.4      -0.647583        1.77969       -5.96094       0.979257
    16.5      -0.476253       0.981465       -3.78355       0.979006
    16.6       -0.24468       -0.33904        6.54137       0.978753
    16.7       -0.14968      -0.448412        3.52219       0.978499
    16.8      -0.146989     0.00758363       -1.81059       0.978244
    16.9      -0.109829      -0.146798        2.55784       0.977987
      17     -0.0645909      -0.117129      -0.729747       0.977729
    17.1     0.00531842      -0.779686         5.8725       0.977469
    17.2     -0.0973043      -0.228737        3.95294       0.977207
    17.3      -0.315555        1.37937       -7.32477       0.976945
    17.4      -0.343647        1.77166        -9.8123       0.976681
    17.5      -0.114579       0.742492       -3.47617       0.976415
    17.6       0.202589      -0.478007        1.79838       0.976148
    17.7       0.481426       -1.48248        5.51824       0.975879
    17.8       0.643198       -1.90252         7.2174       0.975609
    17.9       0.678295       -1.39373       0.181467       0.975338
      18       0.764653       -1.80375        2.37751       0.975065
    18.1       0.874955       -2.78188        8.62642       0.974791
    18.2       0.837516       -3.31611        14.7227       0.974515
    18.3       0.481978       -2.25466        11.9904       0.974238
    18.4      -0.133242       0.437485       -3.70681       0.973959
    18.5        -0.6821        2.51838       -11.2108       0.973679
    18.6      -0.975752        3.42291       -13.6268       0.973398
    18.7      -0.967765        2.91512       -8.51808       0.973115
    18.8      -0.791183        2.00446       -3.83737       0.972831
    18.9      -0.574061        1.40427        -2.2404       0.972545
      19      -0.323457        1.01303       -4.62779       0.972258
    19.1      0.0372057      -0.173097        -1.4081       0.971969
    19.2       0.418913       -1.71838        6.24418       0.971679
    19.3       0.650951       -2.56391        10.2159       0.971387
    19.4       0.657134       -2.44798        9.87338       0.971094
    19.5       0.463329       -1.49574        5.42255         0.9708
    19.6       0.175639      -0.139386       -0.28451       0.970504
    19.7      -0.045496        1.05251       -7.30998       0.970207
    19.8     -0.0187044       0.684414       -5.51749       0.969908
    19.9       0.157022      -0.674505        3.29655       0.969608
      20       0.214992       -1.03315        5.26806       0.969307
    20.1       0.114956      -0.438978        1.84803       0.969004
    20.2     -0.0309377       0.136983      0.0745442         0.9687
    20.3      -0.175044       0.789215       -2.53163       0.968394
    20.4      -0.250973        1.37423       -6.89482       0.968087
    20.5      -0.137979        0.84727       -4.87122       0.967778
    20.6      0.0925128       -0.50534         3.4233       0.967468
    20.7       0.195885      -0.984366        5.94068       0.967157
    20.8       0.119333      -0.466333        3.11947       0.966844
    20.9     -0.0291017       0.448714       -3.30798        0.96653
      21      -0.111083       0.904285       -5.14273       0.966215
    21.1     -0.0669793       0.687738       -2.61161       0.965898
    21.2       0.058769       0.224768      -0.988494       0.965579
    21.3       0.214372      -0.361642        1.23457       0.965259
    21.4       0.340263      -0.685888        2.51255       0.964938
    21.5       0.434861      -0.670536      -0.280574       0.964616
    21.6       0.573548       -1.28608        3.04559       0.964292
    21.7       0.671525       -1.82348        6.38459       0.963966
    21.8       0.651482       -1.81124        5.54327        0.96364
    21.9       0.520927       -1.79242        8.23272       0.963312
      22       0.175403      -0.392204        1.57201       0.962982
    22.1      -0.244829        1.75315        -10.214       0.962651
    22.2      -0.410428         2.0986       -9.47816       0.962319
    22.3      -0.344946        1.20832       -1.42442       0.961985
    22.4      -0.265253        1.06568       -3.29375        0.96165
    22.5      -0.126303       0.518943       -1.56267       0.961314
    22.6      0.0372739      -0.251401        1.01002       0.960976
    22.7       0.122267      -0.595491        4.36968       0.960637
    22.8      0.0977791      0.0478412       -3.95112       0.960296
    22.9       0.157428      -0.623633        1.47336       0.959954
      23       0.155986       -1.26603        9.45984       0.959611
    23.1     -0.0744922      -0.148179       0.177001       0.959266
    23.2      -0.361395       0.606044        2.17219        0.95892
    23.3      -0.691499        2.26474       -10.7245       0.958572
    23.4      -0.829511        2.40128       -5.63412       0.958224
    23.5       -0.85461        2.58679       -8.03019       0.957873
    23.6      -0.734695        2.29357       -8.88472       0.957522
    23.7      -0.478462        1.04729         1.7206       0.957169
    23.8       -0.29154        1.00757       -2.87596       0.956815
    23.9     -0.0535341       0.882007       -9.02777       0.956459
      24       0.362005       -1.03752        4.03778       0.956102
    24.1       0.684402       -2.27121        6.58763       0.955744
    24.2       0.798951       -2.95152        12.6181       0.955384
    24.3       0.599553       -1.95002         7.4957       0.955023
    24.4       0.233814      -0.403199       0.805163       0.954661
    24.5      -0.121808        1.01619       -5.96397       0.954297
    24.6      -0.316857        1.83143       -11.0928       0.953932
    24.7      -0.225904       0.827697       -3.05421       0.953565
    24.8     -0.0676437      -0.440361         5.9238       0.953197
    24.9     -0.0868806      -0.111525         2.0361       0.952828
      25      -0.157979       0.458374       -3.01494       0.952458
    25.1      -0.155651       0.244468      -0.803183       0.952086
    25.2      -0.152369       0.229647       -1.01621       0.951713
    25.3      -0.131826    -0.00502896        1.31583       0.951338
    25.4      -0.135674      -0.345268        4.76724       0.950963
    25.5      -0.287376       0.340009        2.23906       0.950585
    25.6      -0.531724        2.16294        -10.192       0.950207
    25.7      -0.524209        2.64712       -15.0867       0.949827
    25.8      -0.112132       0.628394       -3.35953       0.949446
    25.9        0.39877       -1.61399         8.5953       0.949063
      26       0.724446       -2.45803        10.1209        0.94868
    26.1       0.863849       -2.45484        6.89566       0.948295
    26.2       0.920506        -2.4268        4.56844       0.947908
    26.3       0.944876        -2.7447        6.38569        0.94752
    26.4        0.86401       -2.94044        8.82415       0.947131
    26.5       0.572542       -2.65183        14.5455       0.946741
    26.6     -0.0635894      -0.137943        2.01806       0.946349
    26.7      -0.776323        2.96133       -15.1767       0.945956
    26.8        -1.1829        4.09247        -13.599       0.945562
    26.9       -1.25163        4.33969       -18.3391       0.945166
      27      -0.936628        2.27859       -3.19819       0.944769
    27.1      -0.578706       0.953839      -0.184982       0.944371
    27.2      -0.267086       0.183442       0.309304       0.943971
    27.3      0.0330195      -0.612129       0.820653        0.94357
    27.4       0.306775       -1.56682        5.03332       0.943168
    27.5       0.478007       -2.19624        8.59044       0.942765
    27.6       0.482911       -2.31408        11.9207        0.94236
    27.7       0.281664       -1.11728        1.28094       0.941954
    27.8      0.0694352      -0.417633      -0.904497       0.941547
    27.9      -0.133324      -0.133727        5.03526       0.941138
      28      -0.408227        1.44684        -7.8248       0.940728
    28.1      -0.503842        1.86547       -8.23638       0.940317
    28.2      -0.375147        1.27379        -4.7762       0.939904
    28.3     -0.0989775       0.121472       -2.01665       0.939491
    28.4       0.214983        -1.4966        5.70555       0.939076
    28.5       0.351619       -2.44637        12.0389       0.938659
    28.6       0.134178       -1.54854        8.06973       0.938242
    28.7      -0.329467       0.463382       -1.72402       0.937823
    28.8      -0.791742        2.20263       -7.87751       0.937403
    28.9       -1.08019        3.14075       -11.0332       0.936981
      29       -1.12937        3.06975       -8.59205       0.936558
    29.1      -0.978825        2.36183       -5.89498       0.936134
    29.2      -0.729083        1.35227      -0.570013       0.935709
    29.3      -0.513673        1.30262       -5.60063       0.935283
    29.4      -0.173692       0.521569        -5.9514       0.934855
    29.5       0.337816       -2.01815        9.91312       0.934426
    29.6       0.645842       -3.40781        16.5697       0.933996
    29.7       0.545381       -2.75268        12.8979       0.933564
    29.8       0.130655      -0.632287       0.439743       0.933131
    29.9      -0.317434         1.4338       -9.19047       0.932697
      30      -0.548733        2.02995       -9.07847       0.932262
    30.1      -0.570659        1.27563       -1.42846       0.931825
    30.2      -0.624998         1.1745     -0.0244898       0.931387
    30.3      -0.781035        2.10951       -4.22248       0.930948
    30.4      -0.884062        3.23843       -14.0507       0.930508
    30.5      -0.699637        2.83739       -14.5362       0.930067
    30.6      -0.214921       0.614485       -1.39409       0.929624
    30.7       0.286578       -1.60366        9.86729        0.92918
    30.8       0.532807       -2.22475        9.58087       0.928735
    30.9       0.539288       -1.71929        5.10442       0.928288
      31       0.469417       -1.19965        1.80224        0.92784
    31.1        0.41714       -1.29568        3.68462       0.927391
    31.2       0.311381       -1.27855        5.29973       0.926941
    31.3      0.0809974      -0.551919        3.10336        0.92649
    31.4      -0.235654       0.730747       -1.32567       0.926037
    31.5      -0.503568        2.12162       -9.29238       0.925583
    31.6      -0.510901        2.15989       -10.5881       0.925128
    31.7      -0.259169         0.7354       -1.83401       0.924672
    31.8      0.0203136      -0.575389        4.14174       0.924215
    31.9       0.166162       -1.33954        8.61443       0.923756
      32      0.0634789      -0.669988        3.24765       0.923296
    32.1      -0.165167       0.543541       -2.49222       0.922835
    32.2      -0.315594         1.2634       -7.38393       0.922372
    32.3      -0.295947       0.678586       -1.10619       0.921909
    32.4      -0.284507       0.460971        1.44021       0.921444
    32.5      -0.335904        1.10582       -5.03907       0.920978
    32.6      -0.272864       0.836335       -2.18174       0.920511
    32.7      -0.125863       0.310294       -1.17675       0.920043
    32.8       0.042227      -0.459153        3.58807       0.919573
    32.9       0.129362      -0.718167        2.92829       0.919102
      33       0.123277      -0.521438       0.838382       0.918631
    33.1      0.0797173      -0.385596        2.14806       0.918157
    33.2    -0.00279423     -0.0632225      -0.397794       0.917683
    33.3     -0.0969685    -0.00712639        2.47763       0.917208
    33.4       -0.26505       0.735468       -1.76802       0.916731
    33.5      -0.422211        1.49644        -6.8343       0.916253
    33.6      -0.458217        1.39936       -3.96549       0.915774
    33.7      -0.444005        1.27123       -1.42022       0.915294
    33.8      -0.411264        1.52827       -7.09832       0.914813
    33.9      -0.277588         1.0075        -1.8064        0.91433
      34      -0.115748       0.997507       -6.02752       0.913846
    34.1       0.181158        0.04325       -2.19735       0.913361
    34.2       0.542705       -1.36201        4.87736       0.912875
    34.3       0.827709       -2.25079        6.05841       0.912388
    34.4       0.996545       -3.24466        14.1977         0.9119
    34.5       0.871057       -2.47143        8.62586        0.91141
    34.6       0.571265      -0.687673       -3.32144        0.91092
    34.7       0.397124       -0.45276       0.607731       0.910428
    34.8       0.268512      -0.215594      -0.710657       0.909935
    34.9       0.153697        0.19835       -2.83917       0.909441
      35       0.118577     -0.0418126      0.0307792       0.908945
    35.1      0.0717702       -0.19308        3.59754       0.908449
    35.2     -0.0591205       0.792656       -3.54866       0.907951
    35.3     -0.0594407        1.03717       -7.19248       0.907452
    35.4       0.150436      -0.203553      -0.537397       0.906953
    35.5       0.349402       -1.38517        7.84971       0.906452
    35.6       0.328582       -1.04632        5.15692       0.905949
    35.7       0.182755     -0.0514256       -1.86116       0.905446
    35.8      0.0871354       0.443774        -3.7804       0.904942
    35.9      0.0942126       0.392623       -3.66027       0.904436
      36        0.20275      -0.327984      0.0230198        0.90393
    36.1       0.288231       -1.00488        5.43709       0.903422
    36.2       0.225441      -0.613865        2.14659       0.902913
    36.3       0.109055     0.00904202       -2.21042       0.902403
    36.4      0.0643892      0.0793142       -1.67216       0.901892
    36.5      0.0937919      -0.294062        1.57089       0.901379
    36.6       0.119263      -0.329868      -0.921452       0.900866
    36.7       0.188519      -0.887129        3.68677       0.900352
    36.8       0.223842       -1.45544         7.6555       0.899836
    36.9      0.0809503       -1.13038         7.8129       0.899319
      37      -0.272391       0.846253       -3.97846       0.898801
    37.1      -0.525138        2.22025       -11.5306       0.898283
    37.2      -0.462866        1.46102       -3.40034       0.897763
    37.3      -0.291828       0.818954       -1.51302       0.897241
    37.4     -0.0963379        0.60306        -3.4404       0.896719
    37.5       0.212634      -0.374248        1.42693       0.896196
    37.6       0.552071       -1.17114       0.455061       0.895672
    37.7       0.920957       -2.31061        4.18227       0.895146
    37.8        1.27161        -3.9832        14.2646        0.89462
    37.9         1.3714       -4.59999        17.0553       0.894092
      38        1.10953       -3.44665        11.7478       0.893563
    38.1       0.626734        -1.1312        -1.1866       0.893033
    38.2       0.254677      -0.195975       -1.39468       0.892503
    38.3    -0.00524665       0.135805      -0.581518       0.891971
    38.4      -0.253018       0.754928       0.358808       0.891438
    38.5       -0.45756        1.91878       -10.6399       0.890903
    38.6       -0.41312        1.16958        -1.9521       0.890368
    38.7       -0.29294       0.689151       -3.09456       0.889832
    38.8      -0.134897      0.0702114      -0.857952       0.889295
    38.9      0.0160865      -0.834509        8.36824       0.888756
      39      0.0105424      -0.299602      -0.460485       0.888217
    39.1     0.00642428      -0.449489        1.34762       0.887677
    39.2     -0.0453937      -0.551837        4.58003       0.887135
    39.3      -0.220033       0.394055       -3.10016       0.886592
    39.4      -0.352265       0.578312      -0.984116       0.886049
    39.5         -0.482       0.869053       -1.97704       0.885504
    39.6      -0.624265         1.0949       0.310897       0.884958
    39.7      -0.816398         2.0001       -5.38525       0.884412
    39.8      -0.932388        2.94565       -12.7645       0.883864
    39.9      -0.760107         2.1119       -7.09671       0.883315
      40      -0.401158       0.164987         2.0169       0.882765
    40.1       -0.15162       -1.04032        6.81562       0.882214
    40.2      -0.161661      -0.791687        5.23874       0.881662
    40.3      -0.342841      0.0362564        1.02521       0.881109
    40.4      -0.581356       0.746507     -0.0447732       0.880555
    40.5      -0.845094        1.60993       -2.88676           0.88
    40.6       -1.08539        2.41799       -5.10477       0.879444
    40.7       -1.27178        3.51128       -11.6646       0.878887
    40.8       -1.23063        3.85682       -15.7284       0.878329
    40.9       -0.82254        2.19322       -7.14113        0.87777
      41       -0.23348      -0.328166        5.08629        0.87721
    41.1       0.244168       -2.11923        10.7416       0.876649
    41.2       0.443202       -2.67815        10.8675       0.876087
    41.3        0.33638       -1.96637        7.44403       0.875524
    41.4      0.0274093      -0.459356       0.942849        0.87496
    41.5      -0.304862       0.712056       -2.46063       0.874394
    41.6      -0.586626        1.38774       -2.53871       0.873828
    41.7      -0.856367        2.41988       -6.11612       0.873261
    41.8       -1.03768        3.66726       -14.8611       0.872693
    41.9      -0.898698        3.22454       -13.6934       0.872124
      42      -0.467151        1.12349       -1.73356       0.871554
    42.1     -0.0665921      -0.290345        3.65129       0.870983
    42.2       0.183241      -0.653809        2.07766       0.870411
    42.3       0.373306       -1.02897        1.84484       0.869838
    42.4       0.519889       -1.50036        5.00368       0.869264
    42.5       0.581651       -1.48714        2.87253       0.868689
    42.6       0.618159       -1.84034        3.76662       0.868113
    42.7       0.570119       -2.37798        10.1933       0.867536
    42.8       0.250453       -1.39279        8.22152       0.866958
    42.9      -0.264381       0.900809       -4.06156       0.866379
      43      -0.656088        2.48335       -12.0082       0.865799
    43.1       -0.73908        2.24857       -7.44251       0.865219
    43.2      -0.630914        1.25771       -1.81479       0.864637
    43.3      -0.519632       0.525146         3.1925       0.864054
    43.4      -0.507417        0.94681       -3.77508       0.863471
    43.5      -0.436248       0.606696       -1.73755       0.862886
    43.6      -0.334693     -0.0863841         2.2494       0.862301
    43.7      -0.340446      -0.234089        5.21846       0.861714
    43.8      -0.520782       0.669661        1.73188       0.861127
    43.9      -0.767018        2.14473       -8.61264       0.860538
      44      -0.850794        2.60681       -9.25602       0.859949
    44.1      -0.715561        2.34673       -9.29737       0.859359
    44.2      -0.357376        1.03232       -3.33345       0.858768
    44.3       0.102336      -0.795583        5.50128       0.858175
    44.4       0.461055        -1.8353        6.87622       0.857582
    44.5         0.6649       -2.20127        5.50482       0.856988
    44.6       0.749117       -2.59833        10.3436       0.856394
    44.7       0.646484       -2.13205        7.78985       0.855798
    44.8       0.388239         -1.098        2.19153       0.855201
    44.9      0.0527192     -0.0663709        1.58526       0.854603
      45      -0.326049        1.65934       -8.73119       0.854005
    45.1      -0.528266        2.27253       -10.4992       0.853405
    45.2      -0.533035        1.74152       -3.53767       0.852805
    45.3      -0.498901        1.68607       -5.59531       0.852204
    45.4      -0.399563        1.32197       -3.22429       0.851601
    45.5       -0.27568        1.12423       -1.59543       0.850998
    45.6      -0.124136        1.53067        -10.627       0.850394
    45.7       0.273323      0.0246588       -2.18075        0.84979
    45.8       0.761051       -1.92579        6.00179       0.849184
    45.9        1.12921       -3.30143        11.5515       0.848577
      46        1.24814       -3.64247        13.9376        0.84797
    46.1        1.09503       -2.40184        3.43767       0.847361
    46.2         0.9021       -1.57978        2.70506       0.846752
    46.3       0.748552      -0.894693       -2.32066       0.846142
    46.4       0.706228       -1.35506        4.32676        0.84553
    46.5       0.606859       -1.21739        4.26919       0.844919
    46.6       0.432088      -0.287668       -2.24909       0.844306
    46.7       0.361232     -0.0215024       -4.41091       0.843692
    46.8       0.439091      -0.895016        1.94013       0.843077
    46.9       0.478504       -1.50671        6.52752       0.842462
      47       0.362519       -1.07994        4.04402       0.841846
    47.1       0.168046      -0.318723     -0.0180842       0.841229
    47.2    -0.00828972      0.0913659       0.443074       0.840611
    47.3      -0.168457       0.798984       -4.19748       0.839992
    47.4      -0.195218        0.73158       -2.64746       0.839372
    47.5      -0.121865       0.113069        1.65423       0.838751
    47.6     -0.0872946       0.131944       0.270438        0.83813
    47.7     -0.0345222       0.349956       -3.36193       0.837508
    47.8       0.159005      -0.407805      -0.599389       0.836885
    47.9       0.411629       -1.72997        7.47644       0.836261
      48       0.510399       -2.09724        9.76963       0.835636
    48.1        0.40873       -1.42527        5.58353        0.83501
    48.2       0.217148      -0.516178        1.51583       0.834384
    48.3      0.0187745       0.600975       -4.69197       0.833756
    48.4     -0.0361636       0.940062       -7.30306       0.833128
    48.5        0.11568      -0.283987        2.06864       0.832499
    48.6        0.21517      -0.907656        5.51206        0.83187
    48.7       0.132659      -0.180593       0.227206       0.831239
    48.8      0.0102406       0.663475       -3.79505       0.830608
    48.9     -0.0163015       0.984579       -5.39601       0.829975
      49       0.105358       0.665275       -5.24436       0.829342
    49.1       0.357249      -0.392148         1.8553       0.828709
    49.2       0.628036       -1.20557       0.768284       0.828074
    49.3       0.895487       -2.70504        11.1361       0.827439
    49.4       0.922164       -2.36851        4.60074       0.826802
    49.5       0.850025       -2.01297        3.40348       0.826165
    49.6       0.762916       -2.46044        10.4278       0.825527
    49.7       0.467372       -1.70963        8.40403       0.824889
    49.8     -0.0228737       0.524072       -3.73803       0.824249
    49.9      -0.385684        1.69733       -7.83527       0.823609
      50      -0.543301         1.5563       -2.81923       0.822968
    50.1      -0.668008        2.14207       -6.80291       0.822326
    50.2      -0.660056        2.39979       -11.2904       0.821684
    50.3      -0.420344       0.963546       -1.24488       0.821041
    50.4       -0.19506      0.0793753        2.23487       0.820396
    50.5     -0.0590361     -0.0948482       -1.11559       0.819752
    50.6      0.0584584      -0.997331        6.51125       0.819106
    50.7     -0.0258887      -0.614024        3.90066        0.81846
    50.8       -0.25628       0.600422       -3.30854       0.817812
    50.9      -0.441774        1.19775       -3.84943       0.817164
      51      -0.532577         1.4214       -7.28015       0.816516
    51.1      -0.526798       0.685863        2.79421       0.815866
    51.2      -0.618879        1.27278       -4.33338       0.815216
    51.3      -0.667425        1.20066       -2.42855       0.814565
    51.4      -0.698203       0.983695      -0.336794       0.813913
    51.5      -0.783321        1.25089       -2.01412       0.813261
    51.6      -0.895108        1.77669       -5.46288       0.812608
    51.7      -0.953076         1.8146       -3.16956       0.811954
    51.8      -0.972631        1.76524       -3.04275       0.811299
    51.9      -0.970266        1.59232       -1.91996       0.810644
      52       -1.02131        1.86011       -1.94173       0.809988
    52.1       -1.11571        2.75216       -8.05864       0.809331
    52.2       -1.08123        3.00873       -11.2507       0.808673
    52.3      -0.844064        2.05386       -4.65911       0.808015
    52.4      -0.538513        1.13745       -1.27957       0.807356
    52.5      -0.241799       0.661364        -3.1633       0.806696
    52.6       0.108739      -0.074445       -2.67097       0.806035
