1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/148 Cartesian=0.0000000 0.0000000 0.0000000 (19865 plane wave)
 1 -46.79356385271653 0.006802721088435368
 2 -46.79194284374286 0.006802721088435368
 3 -46.79194139463290 0.006802721088435368
 4 -23.09059837279031 0.006802721088435368
 5 -23.09059691729212 0.006802721088435368
 6 -23.08943188036672 0.006802721088435368
 7 -23.08943126839881 0.006802721088435368
 8 -23.08943064988385 0.006802721088435368
 9 -23.08942962773023 0.006802721088435368
 10 -23.06388408868295 0.006802721088435368
 11 -23.06277375130604 0.006802721088435368
 12 -23.06277302608342 0.006802721088435368
 13 -15.32824605991873 0.006802721088435368
 14 -15.17302377621743 0.006802721088435368
 15 -15.17302240105521 0.006802721088435368
 16 -7.109283586563413 0.006802721088435368
 17 -6.668799618159742 0.006802721088435368
 18 -6.668796893872723 0.006802721088435368
 19 -6.447313349376171 0.006802721088435368
 20 -6.447311126067264 0.006802721088435368
 21 -6.357586508200818 0.006802721088435368
 22 -6.357585563152709 0.006802721088435368
 23 -6.357584324830928 0.006802721088435368
 24 -6.357582573875713 0.006802721088435368
 25 -0.8130014654878462 0.006802721088435368
 26 -0.8129996952351672 0.006802721088435368
 27 -0.8129992377052149 0.006802721088435368
 28 -0.8129985276929661 0.006802721088435368
 29 -0.4821843354786743 0.006802721088435368
 30 -0.4815567024929145 0.006802721088435368
 31 -0.4815557858673211 0.006802721088435368
 32 -0.4753954485276375 0.006802721088435368
 33 -0.4753947419985727 0.006802721088435368
 34 5.848655238065245 0.006802721088435368
 35 5.848657153894297 0.006802721088435368
 36 6.393802423595828 0.006802721088435368
 37 6.393803447290232 0.006802721088435368
 38 6.393805146358380 0.006802721088435368
 39 6.393808016377782 0.006802721088435368
 40 6.716834691073698 0.006802721088435368
 41 6.716836845533240 0.006802721088435368
 42 7.147622128884819 0.006802721088435368
 43 7.147624119040347 0.006802721088435368
 44 7.147626993730046 0.006802721088435368
 45 7.147629479172732 0.006802721088435368
 46 7.304578045988608 0.006802721088435368
 47 7.309757795162802 0.006802721088435368
 48 7.309761204847538 0.006802721088435368
 49 8.124449415866964 0.006802721088435368
 50 8.124450069461066 0.006802721088435368
 51 8.493117519397218 0.006802721088435368
 52 8.786154429172111 0.006802721088435368
 53 8.931935302934468 0.006802721088435368
 54 8.931938680371239 0.006802721088435368
 55 8.946988161127948 0.006802721088435368
 56 8.946990411897836 0.006802721088435368
 57 8.946991374752921 0.006802721088435368
 58 8.946992346017097 0.006802721088435368
 59 9.203696660395590 0.006802721088435368
 60 9.203699728595906 0.006802721088435368
 61 12.10873008854800 0.000000000000000
 62 12.10873293460544 0.000000000000000
 63 12.29435254642009 0.000000000000000
 64 13.31426734687614 0.000000000000000
 65 13.31426898700163 0.000000000000000
 66 13.43183793974406 0.000000000000000
 67 13.43183893982628 0.000000000000000
 68 13.43184113674746 0.000000000000000
 69 13.43184225611399 0.000000000000000
 70 13.97937272367342 0.000000000000000
 71 13.97937742197085 0.000000000000000
 72 14.63687192649546 0.000000000000000

 spin=1 k-point=2/148 Cartesian=0.02482455863796535 0.01433249169819214 0.000000000000000 (19843 plane wave)
 1 -46.79346825745881 0.01360544217687074
 2 -46.79199742890971 0.01360544217687074
 3 -46.79198016248872 0.01360544217687074
 4 -23.09813036509946 0.01360544217687074
 5 -23.09499767744320 0.01360544217687074
 6 -23.09425823715143 0.01360544217687074
 7 -23.08472718621048 0.01360544217687074
 8 -23.08395482703073 0.01360544217687074
 9 -23.07833055385489 0.01360544217687074
 10 -23.06679227452485 0.01360544217687074
 11 -23.06400697970114 0.01360544217687074
 12 -23.06347215718801 0.01360544217687074
 13 -15.31708233664070 0.01360544217687074
 14 -15.17666193407165 0.01360544217687074
