## w(eV)         sigma(Sm^-1)     kappa(W(mK)^-1)        L12/e(Am^-1)      L22/e^2(Wm^-1)
    9.33            -5816.28             6.15505              204573        -6.61228e+06
    9.35            -5450.22             5.76812              188924        -6.00232e+06
    9.37            -4973.39             5.40299              169578        -5.27027e+06
    9.39            -4415.23              5.0825              147514        -4.44699e+06
    9.41            -3800.26             4.84449              123545        -3.55747e+06
    9.43             -3149.4             4.75007             98359.7        -2.62191e+06
    9.45            -2480.76             4.90795             72539.3        -1.65616e+06
    9.47             -1809.9             5.55349             46565.6             -671956
    9.49            -1149.99             7.39085             20822.3              323135
    9.51            -511.764              14.396            -4407.53         1.32581e+06
    9.53             96.5206              -66.95            -28943.9         2.33717e+06
    9.55             669.136            -8.33547            -52712.8         3.36293e+06
    9.57             1202.89             -3.7605            -75747.5         4.41367e+06
    9.59             1697.11            -1.85779            -98190.6         5.50506e+06
    9.61              2153.6           -0.645101             -120295          6.6583e+06
    9.63             2576.55            0.289751             -142426         7.90041e+06
    9.65             2972.51              1.0456             -165059         9.26459e+06
    9.67             3350.25             1.60906             -188785         1.07904e+07
    9.69             3720.68             1.90732             -214297         1.25234e+07
    9.71             4096.59             1.82993             -242385         1.45147e+07
    9.73             4492.41             1.24636             -273916         1.68196e+07
    9.75             4923.72           0.0271981             -309798          1.9495e+07
    9.77             5406.66            -1.93018             -350943         2.25966e+07
    9.79             5957.02            -4.67578             -398200          2.6175e+07
    9.81             6589.28            -8.18799             -452293         3.02701e+07
    9.83             7315.36            -12.3675             -513732          3.4906e+07
    9.85             8143.32            -17.0465             -582735         4.00856e+07
    9.87             9076.01            -22.0094             -659140         4.57846e+07
    9.89             10109.9            -27.0203             -742336         5.19475e+07
    9.91             11234.2            -31.8477             -831216         5.84845e+07
    9.93             12430.1            -36.2853             -924148         6.52706e+07
    9.95             13671.1            -40.1653          -1.019e+06         7.21476e+07
    9.97             14923.2            -43.3644        -1.11318e+06         7.89284e+07
    9.99             16146.3            -45.8062        -1.20376e+06         8.54046e+07
   10.01             17296.2            -47.4598        -1.28758e+06         9.13558e+07
   10.03             18326.5            -48.3356        -1.36145e+06         9.65617e+07
   10.05             19191.6            -48.4814         -1.4223e+06         1.00815e+08
   10.07             19849.1            -47.9764        -1.46737e+06         1.03933e+08
   10.09               20263            -46.9256        -1.49442e+06          1.0577e+08
   10.11             20405.3            -45.4539        -1.50183e+06         1.06228e+08
   10.13             20258.1            -43.7009        -1.48871e+06         1.05261e+08
   10.15             19814.6            -41.8156        -1.45499e+06         1.02879e+08
   10.17             19079.5            -39.9533        -1.40137e+06         9.91453e+07
   10.19             18067.8            -38.2742        -1.32931e+06         9.41762e+07
   10.21             16804.6             -36.945        -1.24088e+06         8.81291e+07
   10.23             15322.4            -36.1466        -1.13867e+06         8.11942e+07
   10.25             13659.5            -36.0929        -1.02558e+06         7.35828e+07
   10.27             11857.7              -37.07             -904708         6.55149e+07
   10.29             9959.94            -39.5259             -779157         5.72083e+07
   10.31             8008.65            -44.2871             -651897         4.88684e+07
   10.33             6044.01             -53.178             -525661         4.06802e+07
   10.35             4102.84            -71.2953             -402860          3.2803e+07
   10.37             2217.92            -120.267             -285537          2.5367e+07
   10.39             417.645            -582.152             -175350         1.84726e+07
   10.41            -1274.02             173.546            -73579.2          1.2191e+07
   10.43            -2837.36             70.6449             18846.4         6.56719e+06
   10.45             -4256.6             42.5846              101313         1.62276e+06
   10.47            -5519.64             29.6858              173479        -2.64012e+06
   10.49            -6617.78             22.4487              235235        -6.23502e+06
   10.51            -7545.46             17.9802              286667        -9.18772e+06
   10.53             -8300.2             15.0983              328024        -1.15332e+07
   10.55            -8882.47             13.2235              359697        -1.33133e+07
   10.57            -9295.61             12.0308              382193        -1.45743e+07
   10.59            -9545.78              11.317              396126        -1.53662e+07
   10.61             -9641.8             10.9433              402198        -1.57406e+07
   10.63            -9594.92             10.8081              401186        -1.57507e+07
   10.65            -9418.59             10.8328              393928        -1.54497e+07
   10.67            -9128.02             10.9551              381306        -1.48905e+07
   10.69            -8739.78             11.1244              364225         -1.4125e+07
   10.71            -8271.32             11.2998              343601        -1.32031e+07
   10.73            -7740.47             11.4483              320332        -1.21721e+07
   10.75            -7164.95              11.544              295289        -1.10761e+07
   10.77            -6561.95             11.5677              269287        -9.95511e+06
   10.79            -5947.68             11.5063              243081        -8.84465e+06
   10.81            -5337.05             11.3524              217341        -7.77531e+06
   10.83            -4743.39             11.1041              192649        -6.77236e+06
   10.85            -4178.22             10.7648              169490        -5.85559e+06
   10.87            -3651.07             10.3434              148245        -5.03937e+06
   10.89            -3169.45              9.8538              129193        -4.33272e+06
   10.91            -2738.73             9.31515              112511        -3.73965e+06
   10.93            -2362.25             8.75136             98276.6        -3.25957e+06
   10.95            -2041.32             8.18995               86480        -2.88785e+06
   10.97             -1775.4             7.65956             77028.6        -2.61641e+06
   10.99            -1562.22             7.18547             69760.5        -2.43444e+06
   11.01            -1398.03             6.78371             64456.5        -2.32914e+06
   11.03            -1277.81             6.45596             60853.6        -2.28645e+06
   11.05            -1195.58             6.18871             58659.7        -2.29179e+06
   11.07            -1144.66             5.95868             57568.3         -2.3308e+06
   11.09            -1118.02             5.74213             57273.3        -2.38999e+06
   11.11            -1108.62             5.52295             57483.5         -2.4574e+06
   11.13            -1109.72             5.29555             57936.7        -2.52313e+06
   11.15            -1115.25             5.06303             58412.9        -2.57982e+06
   11.17            -1120.16             4.83318             58745.7        -2.62301e+06
   11.19            -1120.64             4.61516             58832.3        -2.65142e+06
   11.21            -1114.44             4.41772               58640        -2.66704e+06
   11.23            -1101.01             4.24904             58210.1        -2.67502e+06
   11.25            -1081.55             4.11754             57655.9        -2.68348e+06
   11.27            -1058.98             4.03274             57157.2        -2.70296e+06
   11.29            -1037.74             4.00526             56948.4        -2.74574e+06
   11.31            -1023.47             4.04462               57301        -2.82494e+06
   11.33            -1022.53              4.1543             58501.5        -2.95347e+06
   11.35            -1041.45             4.32525             60826.2        -3.14282e+06
   11.37             -1086.3             4.53225             64512.7         -3.4019e+06
   11.39            -1162.01             4.73771             69733.2        -3.73594e+06
   11.41             -1271.8             4.90289             76570.5        -4.14555e+06
   11.43             -1416.7                   5             84999.2        -4.62613e+06
   11.45            -1595.17             5.01761             94876.4        -5.16767e+06
   11.47            -1803.06             4.95848              105941        -5.75496e+06
   11.49             -2033.7             4.83341              117824        -6.36836e+06
   11.51             -2278.3             4.65555              130072        -6.98495e+06
   11.53            -2526.56             4.43677              142174        -7.58012e+06
   11.55            -2767.41             4.18619              153606        -8.12938e+06
   11.57            -2989.89             3.90988              163864        -8.61029e+06
   11.59            -3184.06             3.61139              172510        -9.00436e+06
   11.61            -3341.78             3.29241              179209        -9.29857e+06
   11.63            -3457.38             2.95352              183756        -9.48661e+06
   11.65            -3528.11             2.59479              186090         -9.5695e+06
   11.67            -3554.32             2.21635              186306        -9.55558e+06
   11.69            -3539.32             1.81881              184638        -9.45985e+06
   11.71            -3489.02             1.40364              181443         -9.3028e+06
   11.73            -3411.33            0.973523              177164        -9.10861e+06
   11.75            -3315.37            0.532678              172292        -8.90315e+06
   11.77            -3210.64           0.0871828              167323        -8.71176e+06
   11.79            -3106.13           -0.354866              162712        -8.55712e+06
   11.81            -3009.58           -0.783492              158838         -8.4573e+06
   11.83            -2926.84            -1.18745              155972        -8.42432e+06
   11.85            -2861.43            -1.55536              154257        -8.46316e+06
   11.87            -2814.41            -1.87709              153698         -8.5714e+06
   11.89            -2784.37            -2.14503              154169        -8.73945e+06
   11.91            -2767.77            -2.35474              155428        -8.95136e+06
   11.93            -2759.32            -2.50487              157139        -9.18613e+06
   11.95            -2752.63            -2.59639              158905        -9.41934e+06
   11.97            -2740.85            -2.63174              160304        -9.62501e+06
   11.99             -2717.3            -2.61404              160921         -9.7775e+06
   12.01            -2676.06            -2.54689              160382        -9.85332e+06
   12.03            -2612.52            -2.43439              158385        -9.83271e+06
   12.05            -2523.69            -2.28167              154714        -9.70089e+06
   12.07            -2408.39            -2.09535              149260        -9.44895e+06
   12.09            -2267.31            -1.88407              142019        -9.07423e+06
   12.11            -2102.89            -1.65874              133091        -8.58041e+06
   12.13            -1919.05            -1.43243              122670        -7.97704e+06
   12.15            -1720.86            -1.21994              111027        -7.27888e+06
   12.17            -1514.15            -1.03673               98492        -6.50492e+06
   12.19            -1305.08           -0.897448             85429.7        -5.67719e+06
   12.21            -1099.78           -0.813552               72220        -4.81959e+06
   12.23            -903.965           -0.789813             59236.7        -3.95659e+06
   12.25             -722.68           -0.818537             46829.2        -3.11205e+06
   12.27            -560.091           -0.868973             35308.6         -2.3082e+06
   12.29            -419.384           -0.865949             24935.8        -1.56467e+06
   12.31             -302.72           -0.644827             15915.5             -897844
   12.33            -211.267            0.137918             8391.34             -320232
   12.35            -145.274             2.12172              2445.6              159826
   12.37            -104.175             6.04894            -1899.83              538384
   12.39            -86.6991             11.2808            -4680.78              815945
   12.41            -90.9728             14.6882            -5987.34              997391
   12.43            -114.609             14.7971            -5960.13         1.09181e+06
   12.45            -154.767             13.3036            -4786.36         1.11226e+06
   12.47            -208.189             11.7198            -2695.94         1.07534e+06
   12.49            -271.224             10.5646             42.9259         1.00081e+06
   12.51            -339.843             9.92023             3128.88              910961
   12.53            -409.657             9.76193             6233.96              829907
   12.55            -475.971             10.0635             9012.05              782707
   12.57            -533.858             10.8256             11109.7              794346
   12.59             -578.28             12.0873             12179.2              888553
   12.61            -604.256             13.9409             11894.2         1.08654e+06
   12.63            -607.054             16.5653             9965.87         1.40567e+06
   12.65            -582.407             20.3033             6160.07         1.85823e+06
   12.67            -526.726             25.8679             312.256         2.45034e+06
   12.69            -437.266             34.9976            -7660.68          3.1812e+06
   12.71            -312.246             53.3307            -17753.9         4.04269e+06
   12.73            -150.869             115.435            -29875.1         5.01959e+06
   12.75             46.7609            -369.825            -43852.4         6.09033e+06
   12.77             279.827             -57.029            -59451.2         7.22833e+06
   12.79             547.088            -23.9032            -76396.9         8.40386e+06
   12.81             847.238            -9.84569            -94404.3         9.58637e+06
   12.83             1179.29            -1.27536             -113209         1.07469e+07
   12.85             1542.94             4.91424             -132597         1.18606e+07
   12.87             1938.83             9.75959             -152432         1.29089e+07
   12.89             2368.66             13.6537             -172671         1.38809e+07
   12.91             2835.15             16.7396             -193370         1.47745e+07
   12.93             3341.74             19.0568             -214676         1.55963e+07
   12.95             3892.06             20.6102             -236806         1.63605e+07
   12.97             4489.27             21.4078             -260007          1.7087e+07
   12.99             5135.18             21.4809             -284517         1.77987e+07
   13.01             5829.38             20.8922             -310509         1.85188e+07
   13.03             6568.39              19.735             -338042         1.92669e+07
   13.05             7344.94             18.1253             -367017         2.00564e+07
   13.07             8147.61             16.1912             -397139         2.08916e+07
   13.09             8960.67             14.0613             -427909         2.17664e+07
   13.11             9764.47              11.855             -458617         2.26634e+07
   13.13             10536.1             9.67543             -488377         2.35542e+07
   13.15             11250.6             7.60498             -516166         2.44016e+07
   13.17             11882.3             5.70413             -540889         2.51618e+07
   13.19             12406.5             4.01197             -561451         2.57882e+07
   13.21             12801.2             2.54825             -576842         2.62349e+07
   13.23             13048.4             1.31637             -586209         2.64607e+07
   13.25             13135.8            0.306751             -588925         2.64327e+07
   13.27             13057.5           -0.499786             -584641         2.61295e+07
   13.29             12814.8            -1.12871             -573315         2.55423e+07
   13.31             12415.5            -1.60888             -555218         2.46767e+07
   13.33             11874.2            -1.96994             -530919         2.35518e+07
   13.35             11210.7            -2.24026             -501241         2.21987e+07
   13.37             10448.9            -2.44529             -467204         2.06586e+07
   13.39              9614.9            -2.60629             -429952         1.89794e+07
   13.41             8735.79            -2.73963             -390678         1.72122e+07
   13.43             7837.59            -2.85637             -350548         1.54082e+07
   13.45             6943.91            -2.96227             -310626         1.36147e+07
   13.47             6074.77            -3.05813             -271818         1.18729e+07
   13.49             5245.72            -3.14041             -234834         1.02153e+07
   13.51             4467.43            -3.20212             -200157         8.66444e+06
   13.53             3745.64             -3.2338             -168043         7.23268e+06
   13.55             3081.51            -3.22472             -138531         5.92225e+06
   13.57             2472.27            -3.16388             -111473         4.72652e+06
   13.59             1912.11            -3.04106            -86574.7         3.63177e+06
   13.61             1393.24            -2.84759            -63445.2          2.6194e+06
   13.63             907.054            -2.57703            -41650.9         1.66844e+06
   13.65             445.201            -2.22629              -20770              758085
   13.67            0.620084            -4.70123            -442.313             -129852
   13.69            -431.623            -1.26575             19588.4        -1.00889e+06
   13.71            -853.723           -0.675274             39442.7        -1.88625e+06
   13.73             -1264.8           -0.016011             59087.2        -2.76188e+06
   13.75            -1660.83            0.699236             78330.4        -3.62808e+06
   13.77            -2034.92              1.4556             96832.9        -4.46996e+06
   13.79            -2377.78              2.2361              114132        -5.26642e+06
   13.81            -2678.52              3.0224              129677        -5.99181e+06
   13.83            -2925.51             3.79591              142874        -6.61802e+06
   13.85            -3107.47             4.53888              153139        -7.11681e+06
   13.87            -3214.44             5.23566              159942        -7.46229e+06
   13.89            -3238.79             5.87389              162863        -7.63315e+06
   13.91            -3175.98             6.44576              161627         -7.6147e+06
   13.93            -3025.19             6.94938              156137        -7.40023e+06
   13.95            -2789.57             7.39085              146484        -6.99192e+06
   13.97            -2476.28             7.78798              132956        -6.40092e+06
   13.99            -2096.11             8.17904              116019        -5.64678e+06
   14.01            -1662.92             8.64689             96288.1        -4.75623e+06
   14.03            -1192.79             9.40404             74493.6        -3.76148e+06
   14.05             -703.05             11.2352             51431.4        -2.69811e+06
   14.07            -211.171             22.0315             27914.2        -1.60281e+06
   14.09             266.228            -6.28044             4722.97             -511175
   14.11             714.342              1.2524            -17436.9              544275
   14.13             1120.94             2.63347            -37971.6         1.53576e+06
   14.15             1476.89             3.01617            -56423.7         2.44137e+06
   14.17             1776.44             3.04025            -72485.3         3.24568e+06
   14.19             2017.25             2.88702            -85999.4         3.93983e+06
   14.21             2200.14             2.62781            -96950.2         4.52109e+06
   14.23             2328.73             2.29657             -105445         4.99208e+06
   14.25             2408.81             1.91229             -111688         5.35971e+06
   14.27              2447.8             1.48813             -115955         5.63389e+06
   14.29             2454.04             1.03606             -118564         5.82641e+06
   14.31             2436.25            0.569698             -119848         5.94974e+06
   14.33             2402.98            0.105771             -120136         6.01619e+06
   14.35             2362.26           -0.335506             -119736         6.03726e+06
   14.37             2321.31            -0.73156             -118924         6.02329e+06
   14.39             2286.46            -1.06012             -117942         5.98336e+06
   14.41             2263.07            -1.30322             -117001         5.92546e+06
   14.43             2255.69            -1.45161             -116282         5.85685e+06
   14.45             2268.13            -1.50846             -115948          5.7844e+06
   14.47             2303.72            -1.49067             -116153         5.71514e+06
   14.49             2365.44            -1.42711             -117047         5.65659e+06
   14.51             2456.14            -1.35373             -118792         5.61717e+06
   14.53             2578.72            -1.30691             -121559         5.60637e+06
   14.55             2736.27            -1.31697             -125539         5.63488e+06
   14.57             2932.18            -1.40353             -130942          5.7145e+06
   14.59              3170.2            -1.57387             -137999         5.85802e+06
   14.61             3454.48            -1.82414             -146957         6.07892e+06
   14.63             3789.56            -2.14266             -158077         6.39104e+06
   14.65             4180.26            -2.51404             -171625         6.80809e+06
   14.67             4631.58            -2.92304             -187865         7.34323e+06
   14.69             5148.48            -3.35739             -207049         8.00853e+06
   14.71             5735.67            -3.80918             -229405          8.8145e+06
   14.73             6397.37            -4.27496             -255130         9.76972e+06
   14.75             7137.11            -4.75489             -284378         1.08806e+07
   14.77             7957.71            -5.25121             -317264         1.21515e+07
   14.79             8861.33            -5.76652             -353868          1.3585e+07
   14.81             9849.98            -6.30221             -394254         1.51834e+07
   14.83             10926.2            -6.85709             -438511         1.69495e+07
   14.85             12094.5            -7.42653             -486800           1.889e+07
   14.87             13362.6            -8.00204             -539427         2.10177e+07
   14.89             14743.9            -8.57124             -596926         2.33554e+07
   14.91             16259.3            -9.11837             -660159           2.594e+07
   14.93             17939.9            -9.62496             -730403         2.88258e+07
   14.95             19828.7            -10.0708             -809438         3.20885e+07
   14.97             21982.1            -10.4349             -899600         3.58269e+07
   14.99             24470.4            -10.6964        -1.00379e+06          4.0163e+07
   15.01             27376.8            -10.8349        -1.12545e+06         4.52404e+07
   15.03             30794.9            -10.8304        -1.26841e+06         5.12187e+07
   15.05             34824.4            -10.6625        -1.43675e+06         5.82655e+07
   15.07             39565.2            -10.3092        -1.63448e+06         6.65452e+07
   15.09             45109.6            -9.74351        -1.86525e+06         7.62041e+07
   15.11             51534.1            -8.93097        -2.13199e+06          8.7355e+07
   15.13             58890.5            -7.82474        -2.43644e+06          1.0006e+08
   15.15             67197.8            -6.36094        -2.77889e+06         1.14315e+08
   15.17             76435.3            -4.45353        -3.15779e+06         1.30037e+08
   15.19             86539.2            -1.98963        -3.56959e+06         1.47051e+08
   15.21             97401.9             1.17391        -4.00871e+06         1.65095e+08
   15.23              108875             5.21124        -4.46761e+06         1.83818e+08
   15.25              120780             10.3242        -4.93715e+06         2.02796e+08
   15.27              132914              16.733        -5.40704e+06         2.21548e+08
   15.29              145072             24.6595        -5.86649e+06         2.39568e+08
   15.31              157059             34.3006        -6.30494e+06         2.56354e+08
   15.33              168707             45.7926        -6.71282e+06          2.7144e+08
   15.35              179892             59.1671        -7.08226e+06          2.8443e+08
   15.37              190543             74.3022         -7.4077e+06         2.95027e+08
   15.39              200646             90.8776        -7.68627e+06         3.03052e+08
   15.41              210246             108.345        -7.91791e+06         3.08454e+08
   15.43              219434             125.925        -8.10526e+06         3.11315e+08
   15.45              228333             142.648        -8.25322e+06          3.1183e+08
   15.47              237079             157.439        -8.36828e+06         3.10293e+08
   15.49              245789              169.24        -8.45766e+06         3.07063e+08
   15.51              254543             177.162         -8.5284e+06         3.02525e+08
   15.53              263357             180.612        -8.58643e+06          2.9706e+08
   15.55              272165             179.383        -8.63575e+06         2.91004e+08
   15.57              280810             173.679        -8.67789e+06         2.84626e+08
   15.59              289045             164.064        -8.71158e+06         2.78102e+08
   15.61              296542              151.36        -8.73281e+06          2.7151e+08
   15.63              302910             136.519        -8.73515e+06         2.64832e+08
   15.65              307728             120.494        -8.71044e+06         2.57969e+08
   15.67              310578             104.142        -8.64961e+06         2.50758e+08
   15.69              311075             88.1618        -8.54368e+06         2.43004e+08
   15.71              308912             73.0629        -8.38475e+06         2.34508e+08
   15.73              303879             59.1721         -8.1669e+06         2.25095e+08
   15.75              295894             46.6552        -7.88688e+06          2.1464e+08
   15.77              285005             35.5513        -7.54458e+06         2.03086e+08
   15.79              271398             25.8092        -7.14321e+06         1.90455e+08
   15.81              255383             17.3219        -6.68913e+06         1.76846e+08
   15.83              237373             9.95531        -6.19141e+06         1.62434e+08
   15.85              217860              3.5699        -5.66129e+06         1.47452e+08
   15.87              197378            -1.96445        -5.11132e+06         1.32177e+08
   15.89              176476            -6.75999        -4.55457e+06         1.16906e+08
   15.91              155680            -10.9079         -4.0038e+06         1.01937e+08
   15.93              135471            -14.4788        -3.47075e+06         8.75489e+07
   15.95              116259            -17.5265        -2.96554e+06         7.39851e+07
   15.97             98371.5            -20.0928        -2.49627e+06         6.14418e+07
   15.99             82046.3            -22.2134         -2.0688e+06         5.00605e+07
   16.01               67429            -23.9237        -1.68671e+06          3.9926e+07
   16.03             54580.9            -25.2642        -1.35142e+06         3.10675e+07
   16.05             43488.2            -26.2857        -1.06242e+06         2.34648e+07
   16.07             34075.7            -27.0538             -817620         1.70553e+07
   16.09             26221.7            -27.6544             -613710         1.17439e+07
   16.11             19772.7            -28.2028             -446535         7.41257e+06
   16.13             14557.3            -28.8607             -311471         3.93027e+06
   16.15             10398.3            -29.8774             -203740         1.16162e+06
   16.17             7122.64            -31.6972             -118674        -1.02547e+06
   16.19             4568.76            -35.2989            -51925.5         -2.7538e+06
   16.21             2591.59            -43.6227             393.648        -4.13243e+06
   16.23             1065.49            -72.6249             41625.2        -5.25379e+06
   16.25            -114.645             446.048             74526.9        -6.19227e+06
   16.27            -1033.77             30.8011              101277        -7.00399e+06
   16.29            -1758.04             10.0175              123507        -7.72768e+06
   16.31            -2336.89             3.02282              142363        -8.38639e+06
   16.33            -2805.49           -0.281384              158574        -8.98972e+06
   16.35             -3187.4            -2.08354              172534        -9.53663e+06
   16.37            -3497.18            -3.13598              184382        -1.00183e+07
   16.39             -3742.8            -3.76478              194085         -1.0421e+07
   16.41            -3927.84            -4.13231              201507        -1.07292e+07
   16.43            -4053.39            -4.32697              206477        -1.09277e+07
   16.45            -4119.54             -4.3999              208842        -1.10041e+07
   16.47            -4126.59            -4.38213              208504        -1.09502e+07
   16.49            -4075.87            -4.29349              205452        -1.07629e+07
   16.51            -3970.19            -4.14746              199775        -1.04453e+07
   16.53            -3814.09            -3.95402              191665        -1.00061e+07
   16.55            -3613.76            -3.72123              181409        -9.45917e+06
   16.57            -3376.77             -3.4561              169372        -8.82277e+06
   16.59            -3111.73            -3.16503              155977        -8.11825e+06
   16.61            -2827.75            -2.85397              141677        -7.36869e+06
   16.63            -2533.99             -2.5284              126929        -6.59747e+06
   16.65            -2239.12            -2.19336              112170        -5.82697e+06
   16.67            -1950.98            -1.85334             97792.1        -5.07736e+06
   16.69            -1676.15            -1.51228             84127.5        -4.36569e+06
   16.71            -1419.78            -1.17353             71433.3        -3.70518e+06
   16.73            -1185.44           -0.839821             59885.7        -3.10484e+06
   16.75            -975.099           -0.513245             49577.8        -2.56935e+06
   16.77            -789.168           -0.195117               40522         -2.0992e+06
   16.79            -626.657            0.114212             32656.8        -1.69101e+06
   16.81             -485.33            0.415856             25855.2        -1.33801e+06
   16.83            -361.906            0.713925             19936.3        -1.03059e+06
   16.85            -252.255             1.02135             14675.2             -756995
   16.87            -151.569             1.39015             9814.51             -503825
   16.89             -54.495             2.27431              5072.1             -256633
   16.91             44.8004          -0.0083485              147.52            -305.118
   16.93             152.641             1.03812            -5275.91              280702
   16.95             275.944              1.2699            -11533.2              602333
   16.97             422.429             1.35075            -18984.7              981165
   16.99             600.925             1.34647            -28028.8         1.43489e+06
   17.01              821.79              1.2764            -39119.2         1.98309e+06
   17.03              1097.4             1.15078            -52787.5         2.64822e+06
   17.05             1442.71            0.977025            -69667.9          3.4568e+06
   17.07             1875.77            0.760921            -90523.2         4.44067e+06
   17.09             2418.21            0.506602             -116268         5.63816e+06
   17.11             3095.54            0.216632             -147984         7.09496e+06
   17.13             3937.14           -0.107574             -186925         8.86452e+06
   17.15             4975.92           -0.464975             -234504         1.10076e+07
   17.17             6247.43           -0.853915             -292258         1.35911e+07
   17.19             7788.39            -1.27118             -361782         1.66849e+07
   17.21             9634.59            -1.71128             -444644         2.03586e+07
   17.23             11818.2            -2.16618             -542262         2.46757e+07
   17.25             14364.5            -2.62536             -655761         2.96878e+07
   17.27             17288.4            -3.07639             -785814         3.54264e+07
   17.29             20590.4            -3.50573             -932473         4.18966e+07
   17.31             24253.7            -3.89972        -1.09502e+06         4.90688e+07
   17.33             28240.8            -4.24565        -1.27182e+06         5.68739e+07
   17.35             32492.2             -4.5327        -1.46027e+06         6.51984e+07
   17.37             36925.6            -4.75276        -1.65675e+06         7.38839e+07
   17.39             41437.5            -4.90098        -1.85669e+06         8.27288e+07
   17.41             45905.8            -4.97605        -2.05469e+06         9.14945e+07
   17.43             50195.3            -4.98023        -2.24476e+06         9.99146e+07
   17.45             54163.5            -4.91907        -2.42055e+06         1.07708e+08
   17.47             57668.8            -4.80102        -2.57579e+06         1.14593e+08
   17.49             60578.3            -4.63684        -2.70454e+06         1.20306e+08
   17.51             62776.3            -4.43895        -2.80164e+06         1.24614e+08
   17.53             64171.9            -4.22084        -2.86303e+06         1.27334e+08
   17.55             64704.7            -3.99645        -2.88599e+06         1.28343e+08
   17.57             64349.3            -3.77964        -2.86935e+06         1.27587e+08
   17.59             63116.7            -3.58383        -2.81358e+06         1.25083e+08
   17.61             61053.9            -3.42153        -2.72073e+06         1.20919e+08
   17.63             58240.4            -3.30414        -2.59432e+06         1.15251e+08
   17.65               54783            -3.24157        -2.43906e+06         1.08285e+08
   17.67             50808.7            -3.24199        -2.26059e+06         1.00272e+08
   17.69             46457.3            -3.31151        -2.06514e+06         9.14863e+07
   17.71             41872.8             -3.4539        -1.85909e+06         8.22137e+07
   17.73             37195.7            -3.67032        -1.64873e+06         7.27337e+07
   17.75             32556.2            -3.95915        -1.43989e+06         6.33078e+07
   17.77             28068.9            -4.31595         -1.2377e+06          5.4168e+07
   17.79             23829.2            -4.73362        -1.04649e+06         4.55097e+07
   17.81             19910.5            -5.20275             -869602         3.74874e+07
   17.83             16364.8             -5.7122             -709434         3.02137e+07
   17.85             13222.7            -6.24978             -567458         2.37607e+07
   17.87               10496            -6.80287             -444304         1.81633e+07
   17.89             8180.46            -7.35856             -339883         1.34244e+07
   17.91             6258.78            -7.90256             -253518          9.5204e+06
   17.93             4703.96            -8.41558             -184089         6.40705e+06
   17.95             3482.43            -8.86432             -130156         4.02487e+06
   17.97             2556.83            -9.18388            -90090.2         2.30433e+06
   17.99             1888.35            -9.25162            -62167.4         1.17021e+06
   18.01             1438.69            -8.87614            -44656.8              545280
   18.03             1171.45            -7.87441              -35886              353363
   18.05             1053.23            -6.27787            -34291.3              521743
   18.07             1054.32            -4.42732            -38453.1              983047
   18.09             1149.11            -2.69785            -47120.5         1.67665e+06
   18.11             1316.28            -1.21519            -59224.5         2.54962e+06
   18.13             1538.75            0.103678            -73881.7          3.5572e+06
   18.15             1803.51             1.39916            -90390.6         4.66287e+06
   18.17              2101.3             2.79321             -108218         5.83792e+06
   18.19             2426.17             4.37753             -126981         7.06066e+06
   18.21             2774.98               6.222             -146419         8.31514e+06
   18.23             3146.77             8.38427             -166365         9.58973e+06
   18.25             3542.31             10.9169             -186710         1.08754e+07
   18.27             3963.45             13.8726             -207372         1.21641e+07
   18.29              4412.8             17.3078             -228265         1.34472e+07
   18.31             4893.38             21.2851             -249271         1.47144e+07
   18.33             5408.56             25.8746             -270228         1.59526e+07
   18.35             5962.13             31.1518             -290918         1.71462e+07
   18.37             6558.58             37.1919             -311067         1.82769e+07
   18.39             7203.54             44.0587             -330364         1.93247e+07
   18.41             7904.23             51.7883             -348475         2.02693e+07
   18.43             8669.94             60.3687             -365074         2.10914e+07
   18.45             9512.38             69.7187             -379867         2.17742e+07
   18.47             10445.6             79.6718             -392626         2.23054e+07
   18.49               11486             89.9724             -403210         2.26778e+07
   18.51               12651             100.289             -411583         2.28909e+07
   18.53             13958.2             110.244             -417820         2.29506e+07
   18.55             15423.6             119.466             -422109         2.28695e+07
   18.57             17059.1             127.634             -424729         2.26658e+07
   18.59             18870.9             134.524             -426038         2.23622e+07
   18.61             20856.2             140.033             -426435         2.19848e+07
   18.63             23002.1             144.183             -426335         2.15608e+07
   18.65             25283.7             147.101             -426138         2.11175e+07
   18.67             27663.3             148.993             -426197         2.06807e+07
   18.69             30091.4             150.104             -426812         2.02736e+07
   18.71             32507.7             150.693             -428213         1.99162e+07
   18.73             34844.4             151.003             -430575         1.96256e+07
   18.75             37029.6             151.254             -434032          1.9416e+07
   18.77             38992.7             151.631             -438715         1.93004e+07
   18.79             40668.8             152.293             -444789         1.92917e+07
   18.81             42004.9             153.378             -452501         1.94045e+07
   18.83             42964.2             155.008             -462229         1.96572e+07
   18.85             43530.4             157.294             -474528         2.00737e+07
   18.87             43710.1              160.33             -490153         2.06849e+07
   18.89             43534.4             164.175             -510082         2.15292e+07
   18.91             43057.6             168.821             -535504         2.26529e+07
   18.93             42354.7             174.146             -567784         2.41087e+07
   18.95             41517.1             179.852             -608397         2.59534e+07
   18.97             40646.7              185.42             -658838         2.82443e+07
   18.99             39848.6             190.088             -720496         3.10347e+07
   19.01               39224             192.899             -794517         3.43675e+07
   19.03             38862.2             192.838             -881655         3.82699e+07
   19.05             38834.2             189.042             -982115         4.27461e+07
