1     # ionic step
 Electronic state energy (eV) and occupations
 Spin number 1
 spin=1 k-point=1/25 Cartesian=0.0000000 0.0000000 0.0000000 (37311 plane wave)
 1 -61.89661258801932 0.04081632653061222
 2 -61.86039327542088 0.04081632653061222
 3 -61.86034732961205 0.04081632653061222
 4 -61.86030355444318 0.04081632653061222
 5 -36.17643731982925 0.04081632653061222
 6 -36.17641562009806 0.04081632653061222
 7 -36.17639566598450 0.04081632653061222
 8 -36.01830254088607 0.04081632653061222
 9 -35.94561303336504 0.04081632653061222
 10 -35.94557165601322 0.04081632653061222
 11 -35.94553286110722 0.04081632653061222
 12 -35.90080442688149 0.04081632653061222
 13 -35.90078774937592 0.04081632653061222
 14 -35.90075884099154 0.04081632653061222
 15 -35.81769703739538 0.04081632653061222
 16 -35.81769136887905 0.04081632653061222
 17 -15.04296358795205 0.04081632653061222
 18 -13.75244733913367 0.04081632653061222
 19 -13.20283404541385 0.04081632653061222
 20 -13.20282240945564 0.04081632653061222
 21 -13.20281585712350 0.04081632653061222
 22 -13.01403798414655 0.04081632653061222
 23 -13.01402523003488 0.04081632653061222
 24 -13.01402337908947 0.04081632653061222
 25 -6.716650646466241 0.04081632653061222
 26 -6.716644864096200 0.04081632653061222
 27 -6.716643843780521 0.04081632653061222
 28 -6.562491911603085 0.04081632653061222
 29 -5.736467764338870 0.04081632653061222
 30 -5.736465795763459 0.04081632653061222
 31 -5.736461815185113 0.04081632653061222
 32 -5.027470458039726 0.04081632653061222
 33 -5.027462956777207 0.04081632653061222
 34 -5.027459676912321 0.04081632653061222
 35 -4.136545946862072 0.04081632653061222
 36 -4.136528874176499 0.04081632653061222
 37 -4.136513710557127 0.04081632653061222
 38 -3.589343233302522 0.04081632653061222
 39 -3.589307929819978 0.04081632653061222
 40 -2.850099430251813 0.04081632653061222
 41 -2.850089063128751 0.04081632653061222
 42 -2.850087222699588 0.04081632653061222
 43 -2.747490512954168 0.04081632653061222
 44 -2.494135343224281 0.04081632653061222
 45 -2.494115767198125 0.04081632653061222
 46 -1.975286374251661 0.04081632653061222
 47 -1.975263120332607 0.04081632653061222
 48 -1.975259924337759 0.04081632653061222
 49 -1.616836062606688 0.04081632653061222
